,zone_num,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,CapRes_1,DerateCapRes_1,CapRes_Excl_1,Hurdle_Rate_Forward,Hurdle_Rate_Reverse,EF_Forward_CO_2_Cap_Zone_1,EF_Reverse_CO_2_Cap_Zone_1
BANC,1,z1,1,1,2,20800.0,BANC to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,2.9486121454,12.6452339043,0.428,0.0
CAISO,2,z2,2,3,2,4950.0,CAISO_NW_Hydro to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,12.6396816089,11.3326823102,0.0,0.0
CAISO_NW_Hydro,3,z3,3,3,6,3720.0,CAISO_NW_Hydro to NW,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IID,4,z4,4,4,2,1925.0,IID to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,3.8693250288,12.7967436193,0.428,0.0
LDWP,5,z5,5,4,5,500.0,IID to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,3.8693250288,6.8062825807,0.0,0.0
NW,6,z6,6,5,2,4056.0,LDWP to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,6.8062825807,12.7967436193,0.428,0.0
SW,7,z7,7,6,1,1600.0,NW to BANC,0.001,0.0,0.0,0.0,0.0,0.0,20.269172945399998,11.3166102498,0.0,0.0
,,,8,6,2,4950.0,NW to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,29.9605608,11.33,0.428,0.0
,,,9,6,5,3220.0,NW to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,24.1268433807,11.3166102498,0.0,0.0
,,,10,6,7,800.0,NW to SW,0.001,0.0,0.0,0.0,0.0,0.0,4.9867091768,5.4363380949,0.0,0.0
,,,11,7,1,39.0,SW to BANC,0.001,0.0,0.0,0.0,0.0,0.0,30.117304419299998,0.0,0.0,0.0
,,,12,7,2,10453.0,SW to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,31.7600919932,12.2385685673,0.428,0.0
,,,13,7,4,728.0,SW to IID,0.001,0.0,0.0,0.0,0.0,0.0,29.754845947299998,3.3218793173,0.0,0.0
,,,14,7,5,250.0,SW to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,34.5182187649,0.0,0.0,0.0
