Sum Range ID,Operator
Arizona_Solar_MinBuild,>=
Baja_California_Wind_MinBuild,>=
Cape_Mendocino_Offshore_Wind_MinBuild,>=
Central_Nevada_Geothermal_MinBuild,>=
Central_Valley_North_Los_Banos_Wind_MinBuild,>=
Greater_Imperial_Geothermal_MinBuild,>=
Greater_Imperial_Solar_MinBuild,>=
Greater_Kramer_Li_Battery_8hr_MinBuild,>=
Greater_Kramer_Solar_MinBuild,>=
Humboldt_Bay_Offshore_Wind_MinBuild,>=
Idaho_Wind_MinBuild,>=
Morro_Bay_Offshore_Wind_MinBuild,>=
New_Mexico_Wind_MinBuild,>=
Northern_California_Geothermal_MinBuild,>=
Northern_California_Li_Battery_4hr_MinBuild,>=
Northern_California_Solar_MinBuild,>=
Northern_California_Wind_MinBuild,>=
Pacific_Northwest_Geothermal_MinBuild,>=
Riverside_Solar_MinBuild,>=
Solano_Wind_MinBuild,>=
Southern_NV_Eldorado_Li_Battery_4hr_MinBuild,>=
Southern_NV_Eldorado_Solar_MinBuild,>=
Southern_NV_Eldorado_Wind_MinBuild,>=
Southern_PGAE_Li_Battery_4hr_MinBuild,>=
Southern_PGAE_Solar_MinBuild,>=
Tehachapi_Li_Battery_4hr_MinBuild,>=
Tehachapi_Solar_MinBuild,>=
Tehachapi_Wind_MinBuild,>=
Wyoming_Wind_MinBuild,>=
